State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa
Gujarat,Ahmadabad,Kharif,2018 - 2019,Groundnut,35.0,48.0,1.37
Gujarat,Ahmadabad,Whole Year,2018 - 2019,Guar seed,3288.0,2466.0,0.75
Gujarat,Ahmadabad,Kharif,2018 - 2019,Moong(Green Gram),2895.0,402.0,0.14
Gujarat,Ahmadabad,Kharif,2018 - 2019,Moth,3260.0,590.0,0.18
Gujarat,Ahmadabad,Rabi,2018 - 2019,Rapeseed &Mustard,378.0,674.0,1.78
Gujarat,Ahmadabad,Kharif,2018 - 2019,Rice,113463.0,149704.0,1.32
Gujarat,Ahmadabad,Kharif,2018 - 2019,Sesamum,522.0,282.0,0.54
Gujarat,Ahmadabad,Kharif,2018 - 2019,Tobacco,15.0,28.0,1.87
Gujarat,Ahmadabad,Kharif,2018 - 2019,Urad,2027.0,225.0,0.11
Gujarat,Ahmadabad,Rabi,2018 - 2019,Wheat,108703.0,279010.0,2.57
Gujarat,Ahmadabad,Kharif,2018 - 2019,Soyabean,2.0,2.0,1.0
Gujarat,Ahmadabad,Kharif,2019 - 2020,Arhar/Tur,417.0,413.0,0.99
Gujarat,Ahmadabad,Kharif,2019 - 2020,Bajra,380.0,945.0,2.49
Gujarat,Ahmadabad,Kharif,2019 - 2020,Castor seed,52814.0,95479.0,1.81
Gujarat,Ahmadabad,Kharif,2019 - 2020,Cotton(lint),113401.0,183140.0,1.61
Gujarat,Ahmadabad,Rabi,2019 - 2020,Gram,37936.0,33974.0,0.9
Gujarat,Ahmadabad,Kharif,2019 - 2020,Groundnut,22.0,61.0,2.77
Gujarat,Ahmadabad,Kharif,2019 - 2020,Guar seed,400.0,440.0,1.1
Gujarat,Ahmadabad,Kharif,2019 - 2020,Moong(Green Gram),737.0,490.0,0.66
Gujarat,Ahmadabad,Kharif,2019 - 2020,Moth,1090.0,482.0,0.44
Gujarat,Ahmadabad,Kharif,2019 - 2020,Other Kharif pulses,15.0,9.0,0.6
Gujarat,Ahmadabad,Rabi,2019 - 2020,Rapeseed &Mustard,115.0,222.0,1.93
Gujarat,Ahmadabad,Kharif,2019 - 2020,Rice,133051.0,271922.0,2.04
Gujarat,Ahmadabad,Kharif,2019 - 2020,Sesamum,641.0,241.0,0.38
Gujarat,Ahmadabad,Kharif,2019 - 2020,Tobacco,22.0,43.0,1.95
Gujarat,Ahmadabad,Rabi,2019 - 2020,Tobacco,52.0,134.0,2.58
Gujarat,Ahmadabad,Kharif,2019 - 2020,Urad,370.0,246.0,0.66
Gujarat,Ahmadabad,Rabi,2019 - 2020,Wheat,156379.0,420609.0,2.69
Gujarat,Ahmadabad,Whole Year,2019 - 2020,Potato,80.0,2419.0,30.24
Gujarat,Ahmadabad,Kharif,2019 - 2020,Maize,5.0,7.0,1.4
Gujarat,Ahmadabad,Kharif,2020 - 2021,Arhar/Tur,6182.0,7331.0,1.19
Gujarat,Ahmadabad,Kharif,2020 - 2021,Bajra,478.0,733.0,1.53
Gujarat,Ahmadabad,Kharif,2020 - 2021,Castor seed,47571.0,84643.0,1.78
Gujarat,Ahmadabad,Kharif,2020 - 2021,Cotton(lint),115728.0,186397.0,1.61
Gujarat,Ahmadabad,Rabi,2020 - 2021,Gram,50929.0,43866.0,0.86
Gujarat,Ahmadabad,Kharif,2020 - 2021,Groundnut,182.0,346.0,1.9
