State,District,Latitude,Longitude
Jammu and Kashmir,Kargil,33.78001594550008,76.50917528708288
Jammu and Kashmir,Kathua,32.58416175800008,75.60568789354815
Jammu and Kashmir,Kishtwar,33.6188983910001,75.82080899032258
Jammu and Kashmir,Kulgam,33.63828659100008,74.8216347379747
Jammu and Kashmir,Kupwara,34.52180671700009,74.20452785969468
Jammu and Kashmir,Leh (Ladakh),33.921018600500076,77.66038491556542
Jammu and Kashmir,Poonch,33.71538162200014,74.22451002815896
Jammu and Kashmir,Pulwama,33.97450447050019,75.0488738071295
Jammu and Kashmir,Rajouri,33.28253364550014,74.38181670906283
Jammu and Kashmir,Ramban,33.34688568100012,75.1824720120384
Jammu and Kashmir,Reasi,33.20017814600013,74.8354927287443
Jammu and Kashmir,Samba,32.615213395000154,75.12588044893448
Jammu and Kashmir,Shupiyan,33.766777039000004,74.82833351264773
Jammu and Kashmir,Srinagar,34.124994277500036,74.91243915224663
Jammu and Kashmir,Udhampur,32.93620300250015,75.2873277845262
Jharkhand,Bokaro,23.692986488500054,85.98847856579883
Jharkhand,Chatra,24.10335922350012,84.86515770629944
Jharkhand,Deoghar,24.331174851500123,86.70871245648648
Jharkhand,Dhanbad,23.84462547400011,86.46165638151756
Jharkhand,Dumka,24.310595512000162,87.30612016963839
Jharkhand,Garhwa,24.04859065950012,83.64840760461922
Jharkhand,Giridih,24.332695007500064,86.15869468382218
Jharkhand,Godda,24.865474701000124,87.30080235755017
Jharkhand,Gumla,23.157506943000044,84.45763740374636
Jharkhand,Hazaribagh,24.104230881500115,85.44152801341708
Jharkhand,Jamtara,23.980410576000082,86.92675810105331
Jharkhand,Khunti,22.927004815500112,85.30193741017317
Jharkhand,Kodarma,24.55412483250015,85.67124045050231
Jharkhand,Latehar,23.68465614350012,84.49074463938868
Jharkhand,Lohardaga,23.47539997150008,84.6937252163072
Jharkhand,Pakur,24.53193092400008,87.59186951324912
Jharkhand,Palamu,24.188455582500154,84.21070737581508
Jharkhand,Pashchimi Singhbhum,22.42469024600007,85.52626822715386
Jharkhand,Purbi Singhbhum,22.61246013650006,86.38100616353933
Jharkhand,Ramgarh,23.677482605500074,85.51378287250753
Jharkhand,Ranchi,23.29839038850011,85.38210631683094
Jharkhand,Sahibganj,25.033775329500145,87.68682981629757
Jharkhand,Saraikela-kharsawan,22.816430091500052,85.91314497088547
Jharkhand,Simdega,22.585011482500136,84.54317449110667
Karnataka,Bagalkot,16.287554741000122,75.58163712613927
Karnataka,Bangalore,12.935145855500053,77.54448326071044
Karnataka,Bangalore Rural,13.175076008500128,77.33150694145162
Karnataka,Belgaum,16.16118526500017,74.8934069943529
